ID;Matrix;Sample;Date;Animal;Tag;Crea mmol/L;Urea mmol/L
9672;PFAS_Ziege;Harn;22.05.23;E2;Tag_1;7,64967;710,1312
9743;PFAS_Ziege;Harn;24.05.23;E2;Tag_3;15,38027;942,0079
9710;PFAS_Ziege;Harn;26.05.23;E2;Tag_5;1,39272;97,56354
9653;PFAS_Ziege;Harn;26.06.23;E2;Tag_36;4,53277;175,2641
9671;PFAS_Ziege;Harn;28.06.23;E2;Tag_38;11,77267;573,4252
9690;PFAS_Ziege;Harn;30.06.23;E2;Tag_40;5,30357;289,3181
9698;PFAS_Ziege;Harn;17.07.23;E2;Tag_57;3,76919;290,2477
9728;PFAS_Ziege;Harn;19.07.23;E2;Tag_59;5,85103;335,63
9737;PFAS_Ziege;Harn;21.07.23;E2;Tag_61;5,03979;446,8617
9678;PFAS_Ziege;Harn;04.05.23;E3;0_Probe;1,10793;84,13089
9741;PFAS_Ziege;Harn;04.05.23;E3;0_Probe;2,26179;166,0796
9664;PFAS_Ziege;Harn;22.05.23;E3;Tag_1;5,02228;473,1653
9748;PFAS_Ziege;Harn;24.05.23;E3;Tag_3;7,16933;512,0838
9669;PFAS_Ziege;Harn;26.05.23;E3;Tag_5;1,96618;141,7363
9738;PFAS_Ziege;Harn;26.06.23;E3;Tag_36;5,35601;272,7391
9655;PFAS_Ziege;Harn;28.06.23;E3;Tag_36;4,17011;260,8987
9691;PFAS_Ziege;Harn;30.06.23;E3;Tag_40;3,24031;119,9274
9720;PFAS_Ziege;Harn;17.07.23;E3;Tag_57;1,28921;83,76766
9729;PFAS_Ziege;Harn;19.07.23;E3;Tag_59;4,07466;284,1255
9699;PFAS_Ziege;Harn;21.07.23;E3;Tag_61;3,16689;363,6207
9661;PFAS_Ziege;Harn;29.10.23;E3;Tag_141;0,657645;60,74399
9674;PFAS_Ziege;Harn;04.05.23;E4;0_Probe;3,61616;281,9849
9676;PFAS_Ziege;Harn;22.05.23;E4;Tag_1;5,47714;567,9039
9749;PFAS_Ziege;Harn;24.05.23;E4;Tag_3;10,39717;637,2283
9665;PFAS_Ziege;Harn;26.05.23;E4;Tag_5;11,58914;672,1209
9714;PFAS_Ziege;Harn;26.06.23;E4;Tag_36;5,74929;278,5854
9683;PFAS_Ziege;Harn;28.06.23;E4;Tag_38;7,03422;409,2438
9658;PFAS_Ziege;Harn;30.06.23;E4;Tag_40;4,6804;266,8648
9721;PFAS_Ziege;Harn;17.07.23;E4;Tag_57;1,11499;96,7497
9730;PFAS_Ziege;Harn;19.07.23;E4;Tag_59;3,35492;288,8471
9700;PFAS_Ziege;Harn;21.07.23;E4;Tag_61;6,0067;604,4598
9662;PFAS_Ziege;Harn;29.10.23;E4;Tag_141;4,07593;331,2996